Category,OTA_TRACE_ID,Field_ID,Internal Parameter,Description,Note
3G Sys Info,SIBE_PEER_MSG_RRC_SI,OTA_MSG_OFFSET,,,
,SIBE_PEER_MSG_RRC_SI,OTA_PARAM_0,1,UARFCN,
,SIBE_PEER_MSG_RRC_SI,OTA_PARAM_1,2,PSC,
2G Sys Info,RR_NW_TO_MS_SI_MSG,OTA_MSG_OFFSET,,,
,RR_NW_TO_MS_SI_MSG,OTA_PARAM_0,1,ARFCN,
,RR_NW_TO_MS_SI_MSG,OTA_PARAM_1,2,TC,
4G Sys Info,ERRC_SYS_SI_SIB_PEER,OTA_MSG_OFFSET,,,
,ERRC_SYS_SI_SIB_PEER,OTA_PARAM_0,1,EARFCN,
,ERRC_SYS_SI_SIB_PEER,OTA_PARAM_1,2,PCI,
Air Messages,LPP_SEND_PEER_MSG_ACK,OTA_MSG_OFFSET,,,
,LPP_SEND_PEER_MSG_WITH_PARAMS,OTA_MSG_OFFSET,,,
,LPP_RECEIVE_PEER_MSG_WITH_PARAMS,OTA_MSG_OFFSET,,,
,LPP_RECEIVE_PEER_MSG_ACK,OTA_MSG_OFFSET,,,
,RR_MS_TO_NW_PEER_MSG,OTA_MSG_OFFSET,,,
,RR_NW_TO_MS_PEER_MSG,OTA_MSG_OFFSET,,,
,RR_GPRS_RECEV_PEER_MSG_TRACE,OTA_MSG_OFFSET,,,
,RR_GPRS_SEND_PEER_MSG_TRACE,OTA_MSG_OFFSET,,,
,MRS_PEER_MSG_RRC_IRAT_HO_INFO_MSG,OTA_MSG_OFFSET,,,
,LLC_MS_TO_NW_PEER_MSG_SUB_FORMAT,OTA_MSG_OFFSET,,,
,LLC_NW_TO_MS_PEER_MSG_SUB_FORMAT,OTA_MSG_OFFSET,,,
,MM_SEND_PEER_MSG_TRACE,OTA_MSG_OFFSET,,,
,MM_RECEV_PEER_MSG_TRACE,OTA_MSG_OFFSET,,,
,MM_SEND_LU_PEER_MSG_TRACE,OTA_MSG_OFFSET,,,
,MM_SEND_IDENTITY_MSG_TRACE,OTA_MSG_OFFSET,,,
,GMM_SEND_PEER_MSG_TRACE,OTA_MSG_OFFSET,,,
,GMM_RECEV_PEER_MSG_TRACE,OTA_MSG_OFFSET,,,
,SM_SEND_PEER_MSG_TRACE,OTA_MSG_OFFSET,,,
,SM_RECEV_PEER_MSG_TRACE,OTA_MSG_OFFSET,,,
,IMCSMS_NW_TO_MS_PEER_MSG,OTA_MSG_OFFSET,,,
,IMCSMS_MS_TO_NW_PEER_MSG,OTA_MSG_OFFSET,,,
,SMSAL_MS_TO_NW_PEER_MSG,OTA_MSG_OFFSET,,,
,SMSAL_NW_TO_MS_PEER_MSG,OTA_MSG_OFFSET,,,
,CC_MS_TO_NW_PEER_MSG,OTA_MSG_OFFSET,,,
,CC_NW_TO_MS_PEER_MSG,OTA_MSG_OFFSET,,,
,SMS_MS_TO_NW_PEER_MSG,OTA_MSG_OFFSET,,,
,SMS_NW_TO_MS_PEER_MSG,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_CCCH_MSG,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTRA_FREQ_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTRA_FREQ_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTRA_FREQ_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTRA_FREQ_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTRA_FREQ_xD_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTRA_FREQ_xD_xD_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTRA_FREQ_xD_xD_xD_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTRA_FREQ_xD_xD_xD_xD_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTRA_FREQ,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_FREQ_xD_PSC_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_FREQ_xD_xD_PSC_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_FREQ_xD_xD_xD_PSC_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_FREQ,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_xD_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_xD_xD_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_xD_xD_xD_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_xD_xD_xD_xD_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_TVM_DCH_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_TVM_RACH,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_QM_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_QM_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_QM_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_QM_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_QM_xD_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_QM_xD_xD_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_QM_xD_xD_xD_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_QM_xD_xD_xD_xD_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_QM,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_UE_INTERNAL_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_UE_INTERNAL,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_EUTRA_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_EUTRA_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_EUTRA_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_EUTRA_xD_xD_xD_xD,OTA_MSG_OFFSET,,,
,ADR_PEER_MSG_UL_DCCH_MSG_MEAS_REPORT_EVENT_INTER_RAT_EUTRA,OTA_MSG_OFFSET,,,
